canfi_species,spp
100,PICE.SPP
101,PICE.MAR
105,PICE.GLA
200,PINU.SPP
203,PINU.BAN
204,PINU.CON
206,PINU.ALB
216,PINU.MUR
300,ABIE.SPP
302,ABIE.BAL
500,PSEU.MEN
500,PSEU.SPP
600,LARI.SPP
601,LARI.DEC
602,LARI.LAR
603,LARI.OCC
1200,POPU.SPP
1201,POPU.TRE
1203,POPU.BAL
1204,POPU.TRI
1205,POPU.DEL
1214,POPU.AGU
1303,BETU.PAP
104,PICE.ENG
109,PICE.SPP
304,ABIE.LAS
305,ABIE.MX2
306,ABIE.MIX
604,LARI.LYA
1150,UNKN.SPP
1404,ACER.NEG
1500,GENH.SPP
1550,GENH.SPP
3500,SALI.SPP
3508,SALI.DIS
213,PINU.FLE
201,PINU.MON
217,PINU.ALB
402,TSUG.HET
702,THUJ.PLI
111,PICE.LUT
208,PINU.PON
301,ABIE.AMA
308,ABIE.BIF
400,TSUG.SPP
403,TSUG.MER
404,TSUG.MER
700,THUJ.SPP
901,TAXU.BRE
1100,GENC.SPP
1300,BETU.SPP
1305,BETU.ALA
1305,BETU.NEO
1308,BETU.PAP
1314,BETU.OCC
1400,ACER.SPP
1403,ACER.MAC
1420,ACER.CIR
1800,ALNU.SPP
1802,ALNU.RUB
2100,QUER.SPP
2803,PRUN.EMA
3930,MALU.COR
3930,MALU.FUS
3930,MALU.SPP
106,PICE.SIT
303,ABIE.GRA
1000,CHAM.SPP
1001,CHAM.NOO
205,PINU.CON
2103,QUER.GAR
3300,ARBU.MEN
3300,ARBU.SPP
1206,POPU.GRA
209,PINU.RES
211,PINU.SYL
701,THUJ.OCC
801,JUNI.VIR
2104,QUER.MAC
2201,ULMU.AME
3400,FRAX.SPP
3401,FRAX.AME
3402,FRAX.NIG
3403,FRAX.PEN
3405,FRAX.PEN
3000,TILI.AME
103,PICE.ABI
102,PICE.RUB
107,PICE.MAR
108,PICE.RUB
202,PINU.STR
401,TSUG.CAN
605,LARI.KAE
1301,BETU.ALL
1304,BETU.POP
1401,ACER.SAH
1405,ACER.RUB
1406,ACER.SAC
1410,ACER.PEN
1411,ACER.SPI
1803,ALNU.VIR
1805,ALNU.INC
1806,ALNU.RUG
1900,OSTR.SPP
1900,OSTR.VIR
1950,CARP.CAR
1950,CARP.SPP
2000,FAGU.GRA
2108,QUER.RUB
2802,PRUN.PEN
3960,SORB.SPP
3961,SORB.AME
1804,ALNU.INC
2801,PRUN.SER
2804,PRUN.VIR
1211,POPU.BAL
210,PINU.RIG
1601,CARY.COR
1701,JUGL.CIN
1702,JUGL.NIG
2101,QUER.ALB
2102,QUER.BIC
2200,ULMU.SPP
2600,SASS.ALB
2700,PLAT.OCC
2900,GLED.TRI
2901,ROBI.PSE
3501,SALI.NIG
3980,CAST.DEN
3990,ASIM.TRI
3902,CORY.AME
3900,CORY.COR
3920,ILEX.VER
3940,NEMO.MUC
2202,ULMU.RUB
2203,ULMU.THO
3506,SALI.BEB
3910,CRAT.SPP
3962,SORB.DEC
4000,TOLE.HAR
4500,UPLA.HAR
5000,INTO.HAR
5500,LOWL.HAR
